iter	TotalF1	MultiClass
0	0.5228426341	1.095503981
1	0.5233460227	1.092473681
2	0.5231987408	1.089527351
3	0.5232727626	1.086654248
4	0.5235056435	1.083836497
5	0.5238513104	1.081091728
6	0.5232791921	1.078428387
7	0.5237593359	1.075829499
8	0.5239252605	1.073283666
9	0.523005617	1.070764895
10	0.5233484943	1.068348707
11	0.5235819866	1.066015424
12	0.5229481575	1.063729045
13	0.5228365214	1.061481618
14	0.5238262732	1.05928372
15	0.5230837876	1.057101484
16	0.5232056347	1.055017568
17	0.5225651345	1.052940459
18	0.5229522096	1.050947155
19	0.5235877382	1.048995017
20	0.5224856992	1.047075925
21	0.5230808023	1.045215465
22	0.5226522194	1.043419704
23	0.5228383747	1.041658958
24	0.5222529354	1.039899771
25	0.5219261753	1.0381888
26	0.5217660489	1.036492098
27	0.5220411513	1.034857963
28	0.5223777714	1.033255891
29	0.5219798737	1.031708842
30	0.5221730575	1.030203696
31	0.5221245203	1.028707899
32	0.5218121352	1.027264664
33	0.5217902899	1.025855215
34	0.5219558605	1.024468316
35	0.5219182559	1.023126764
36	0.5220508213	1.021756347
37	0.5219707266	1.020456288
38	0.5215504718	1.019150243
39	0.5216053044	1.017874211
40	0.5217791254	1.016640656
41	0.5216091843	1.015423091
42	0.5214899579	1.014229306
43	0.5215926462	1.013082673
44	0.5217607158	1.01195162
45	0.5218577685	1.010878707
46	0.5223155574	1.00982285
47	0.5222363672	1.008788969
48	0.522137944	1.00773877
49	0.5215913269	1.006706693
50	0.5215521781	1.005682325
51	0.5216094219	1.004707404
52	0.5215937862	1.00379833
53	0.5214707265	1.002850552
54	0.5214013841	1.001917452
55	0.5212408118	1.001047821
56	0.521315472	1.000187866
57	0.5220374555	0.9993520206
58	0.5220501939	0.9985346252
59	0.5222319631	0.9977235439
60	0.5220235945	0.9969688799
61	0.522066174	0.9962007677
62	0.5218900823	0.9954497938
63	0.5218301253	0.9946515048
64	0.5219324878	0.9938698622
65	0.5222039542	0.993227869
66	0.5217445411	0.992513468
67	0.5220724509	0.9917394516
68	0.5219666191	0.9910079942
69	0.5219887501	0.9902950693
70	0.5219470937	0.9896763645
71	0.5221659636	0.9890757003
72	0.5221891478	0.9885016046
73	0.522386657	0.9879119286
74	0.5225419507	0.9872495988
75	0.522717493	0.9866185118
76	0.5229191143	0.9859787326
77	0.5229765114	0.9854628584
78	0.5233908785	0.984902785
79	0.5231489281	0.9844029832
80	0.523516882	0.9839103975
81	0.52363777	0.9833130133
82	0.5240429404	0.9828338759
83	0.5238484389	0.9822782306
84	0.5238946066	0.9817222574
85	0.5238515207	0.9811908848
86	0.5241838872	0.9806335995
87	0.5239229297	0.9801265815
88	0.5242043683	0.9795868447
89	0.5239659855	0.9790888468
90	0.5246484706	0.9785868309
91	0.5251238439	0.9780558683
92	0.5253819233	0.9775447501
93	0.5255857619	0.9770496223
94	0.5257117666	0.9765756511
95	0.5257113982	0.9761474369
96	0.5260675296	0.9756550152
97	0.5259500802	0.9752076125
98	0.5258343726	0.9747836625
99	0.5258750022	0.9743330617
100	0.5255620846	0.9738467902
101	0.5260533316	0.9734113598
102	0.526172411	0.9730043842
103	0.5261853109	0.9725578015
104	0.5263017436	0.9721379516
105	0.5265330616	0.9717457362
106	0.526900756	0.9713051398
107	0.5271236703	0.9709308009
108	0.5271685297	0.9705500658
109	0.5272498017	0.970179417
110	0.5274848807	0.9698150823
111	0.5274462747	0.9694747742
112	0.5274859429	0.9690778848
113	0.5275798369	0.9686856695
114	0.5275244407	0.9683208428
115	0.5276188392	0.9679611002
116	0.5279151605	0.9676061958
117	0.5281771378	0.9671856078
118	0.5284355709	0.9668825286
119	0.5281740726	0.966562803
120	0.52853501	0.9662353692
121	0.528685147	0.9659436063
122	0.5288043554	0.965638641
123	0.5290447821	0.9652950529
124	0.5290811142	0.9650384688
125	0.5294853325	0.9646935686
126	0.5299764757	0.9642810987
127	0.5301576352	0.9639709674
128	0.5305577904	0.9636869126
129	0.5301094454	0.9634026939
130	0.5302126972	0.9631080609
131	0.5307558727	0.9627378221
132	0.5306330099	0.9624111263
133	0.5306978411	0.9620888586
134	0.5309376312	0.9617913556
135	0.5310532068	0.9614851603
136	0.5308997242	0.9612159479
137	0.5308736664	0.9609547717
138	0.5314032579	0.9605938811
139	0.5316759158	0.960214048
140	0.5317458598	0.9599280252
141	0.5319406574	0.9597117041
142	0.5323510634	0.9593335111
143	0.5329788671	0.9589248954
144	0.5331379949	0.9586308364
145	0.533161346	0.9583553919
146	0.5336694813	0.9580913456
147	0.5335495468	0.9578901948
148	0.5336055411	0.9575958078
149	0.5338119299	0.9573611182
150	0.533925979	0.9571339728
151	0.5337642435	0.9568937071
152	0.5342447561	0.9565985821
153	0.5343826658	0.9563453601
154	0.5344832558	0.9560303086
155	0.5343726434	0.95583621
156	0.5343596181	0.9555497772
157	0.5343586291	0.9552701505
158	0.5343746579	0.9550475972
159	0.5348952759	0.9547755967
160	0.5351485293	0.9545608336
161	0.5353844408	0.9543090057
162	0.5355768786	0.9540472554
163	0.5354380386	0.9538137959
164	0.5354059366	0.9536161712
165	0.5356170804	0.953398374
166	0.5359311272	0.9531531882
