iter	Passed	Remaining
0	49	68964
1	90	63558
2	128	59929
3	166	58167
4	203	56860
5	239	55721
6	275	54788
7	313	54539
8	348	53800
9	386	53776
10	421	53231
11	456	52830
12	491	52396
13	525	52029
14	560	51744
15	593	51305
16	627	51041
17	661	50806
18	696	50607
19	730	50382
20	764	50232
21	799	50049
22	833	49889
23	866	49695
24	903	49685
25	937	49524
26	969	49295
27	1004	49196
28	1041	49224
29	1077	49188
30	1112	49119
31	1148	49107
32	1185	49126
33	1228	49376
34	1261	49200
35	1295	49086
36	1328	48930
37	1361	48814
38	1393	48621
39	1425	48452
40	1457	48303
41	1493	48295
42	1525	48137
43	1558	48043
44	1592	47958
45	1627	47901
46	1661	47818
47	1696	47779
48	1731	47737
49	1767	47714
50	1804	47721
51	1837	47638
52	1871	47576
53	1907	47549
54	1940	47450
55	1973	47355
56	2007	47296
57	2041	47224
58	2073	47130
59	2107	47068
60	2141	47014
61	2176	46973
62	2212	46953
63	2247	46921
64	2282	46870
65	2314	46788
66	2347	46697
67	2381	46651
68	2419	46675
69	2462	46790
70	2495	46705
71	2528	46633
72	2559	46534
73	2592	46463
74	2629	46453
75	2665	46432
76	2706	46495
77	2744	46512
78	2779	46482
79	2825	46620
80	2865	46662
81	2917	46895
82	2952	46851
83	2989	46835
84	3024	46798
85	3063	46800
86	3102	46821
87	3137	46782
88	3174	46757
89	3211	46741
90	3246	46704
91	3283	46689
92	3319	46655
93	3355	46624
94	3392	46607
95	3429	46581
96	3465	46553
97	3504	46558
98	3542	46559
99	3579	46529
100	3617	46527
101	3653	46495
102	3688	46443
103	3724	46415
104	3764	46426
105	3800	46391
106	3836	46356
107	3872	46332
108	3910	46311
109	3945	46273
110	3982	46243
111	4018	46215
112	4063	46279
113	4101	46266
114	4136	46220
115	4170	46165
116	4206	46126
117	4244	46113
118	4279	46070
119	4315	46030
120	4352	46004
121	4388	45969
122	4423	45924
123	4459	45891
124	4493	45837
125	4529	45794
126	4567	45781
127	4603	45751
128	4640	45726
129	4676	45683
130	4716	45687
131	4756	45693
132	4794	45674
133	4834	45678
134	4873	45669
135	4910	45638
136	4944	45587
137	4980	45542
138	5015	45504
139	5055	45497
140	5094	45489
141	5127	45426
142	5165	45405
143	5203	45384
144	5243	45385
145	5278	45336
146	5313	45294
147	5347	45236
148	5382	45194
149	5417	45149
150	5452	45100
151	5488	45059
152	5528	45059
153	5567	45049
154	5609	45055
155	5647	45036
156	5689	45041
157	5725	45007
158	5762	44977
159	5801	44965
160	5838	44931
161	5874	44891
162	5910	44853
163	5945	44808
164	5979	44753
165	6014	44707
166	6050	44673
167	6089	44659
168	6130	44652
169	6168	44633
170	6209	44627
171	6247	44603
172	6284	44574
173	6321	44541
174	6358	44509
175	6395	44481
176	6432	44443
177	6467	44397
178	6506	44380
179	6542	44344
180	6578	44304
181	6614	44265
182	6649	44223
183	6690	44215
184	6726	44179
185	6763	44145
186	6798	44099
187	6834	44063
188	6870	44020
189	6908	43996
190	6948	43981
191	6985	43950
192	7021	43911
193	7058	43880
194	7099	43871
195	7138	43850
196	7175	43815
197	7209	43764
198	7243	43713
199	7278	43669
200	7314	43630
201	7349	43586
202	7385	43546
203	7421	43508
204	7455	43462
205	7493	43434
206	7531	43406
207	7566	43361
208	7605	43343
209	7640	43294
210	7683	43295
211	7724	43287
212	7762	43260
213	7803	43250
214	7850	43270
215	7889	43246
216	7925	43206
217	7960	43163
218	7996	43120
219	8033	43088
220	8070	43055
221	8106	43013
222	8140	42965
223	8177	42932
224	8213	42892
225	8245	42833
226	8279	42781
227	8316	42749
228	8353	42714
229	8386	42663
230	8420	42614
231	8454	42562
232	8491	42532
233	8528	42497
234	8560	42439
235	8597	42402
236	8632	42362
237	8667	42319
238	8710	42314
239	8755	42319
240	8794	42295
241	8830	42254
242	8866	42215
243	8904	42184
