trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
0,1100,0.19999999999999998,9,12.0,64,0.8,0.05,0.4805706809135994,0.49497731691510044
1,1800,0.13,8,1.0,248,4.2,0.2,0.479528577560343,0.49497731691510044
2,800,0.05,6,11.0,128,1.4000000000000001,0.6000000000000001,0.47868699359343997,0.49141283214517173
3,800,0.07,6,10.0,200,1.0,0.5,0.4793060413050118,0.49303305249513935
4,1400,0.02,8,4.0,40,4.800000000000001,1.0,0.4750975411097335,0.487200259235256
5,1800,0.07,4,14.0,128,0.6000000000000001,0.5,0.47733773407513747,0.4896305897602074
6,600,0.19,5,14.0,96,2.6,0.55,0.4736683892118208,0.4854180168502916
7,800,0.19999999999999998,9,19.0,232,3.0,0.9500000000000001,0.47789861086427154,0.4915748541801685
8,700,0.05,4,7.0,112,1.4000000000000001,0.8500000000000001,0.47500064088393706,0.48655217109526894
9,1100,0.07,7,3.0,208,0.2,1.0,0.4801320935122231,0.49497731691510044
10,1300,0.15,10,19.0,32,2.0,0.0,0.4811429823809634,0.4957874270900843
11,1300,0.15,10,20.0,32,2.0,0.0,0.4810754561048703,0.4956254050550875
12,1500,0.15,10,20.0,32,2.0,0.0,0.4810754561048703,0.4956254050550875
13,1200,0.16,10,18.0,80,2.8000000000000003,0.2,0.47652214786062785,0.4907647440051847
14,1600,0.11,10,16.0,168,3.4000000000000004,0.25,0.4785640027777787,0.4927090084251458
15,2000,0.11,9,17.0,56,2.0,0.30000000000000004,0.4806982311312236,0.4956254050550875
16,1300,0.16999999999999998,8,20.0,160,2.0,0.1,0.4780403744860706,0.49189889825016203
17,1000,0.13,10,16.0,80,3.6,0.4,0.4796897619454315,0.4948152948801037
18,1600,0.13999999999999999,9,14.0,32,1.6,0.1,0.47974069037276484,0.4951393389500972
19,1300,0.18,7,7.0,56,2.2,0.7000000000000001,0.48042669953512185,0.4931950745301361
20,1000,0.11,8,9.0,96,0.0,0.35000000000000003,0.48242055023711145,0.49773169151004537
21,1000,0.1,9,8.0,88,0.0,0.35000000000000003,0.4808454706492881,0.49659753726506806
22,1000,0.09000000000000001,8,9.0,56,3.4000000000000004,0.15000000000000002,0.4787224178929857,0.4933570965651329
23,1400,0.13,10,5.0,96,0.4,0.0,0.48102871053353996,0.4964355152300713
24,1200,0.16,6,12.0,64,1.2000000000000002,0.0,0.47961409522686216,0.49465327284510696
25,1200,0.12000000000000001,9,18.0,160,4.0,0.4,0.4797220449597733,0.49254698639014904
26,900,0.15,10,15.0,112,2.4000000000000004,0.75,0.47841999471547236,0.49368114063512636
27,1400,0.09000000000000001,8,20.0,40,1.6,0.1,0.47993532035456915,0.4933570965651329
28,1100,0.16999999999999998,7,18.0,72,0.0,0.25,0.47912533010252195,0.49465327284510696
29,1600,0.13999999999999999,9,12.0,48,0.8,0.1,0.4800324364253516,0.495949449125081
30,1300,0.15,10,6.0,112,3.0,0.05,0.47800408997147964,0.49189889825016203
31,1500,0.15,10,20.0,32,1.8,0.0,0.4792159086138296,0.4935191186001296
32,1500,0.12000000000000001,9,19.0,48,2.4000000000000004,0.2,0.47858317869553507,0.49222294232015557
33,1700,0.18,10,10.0,32,1.0,0.05,0.4778592602013189,0.4935191186001296
34,1500,0.13999999999999999,9,17.0,72,4.800000000000001,0.15000000000000002,0.47781137490589787,0.49303305249513935
35,2000,0.12000000000000001,10,1.0,48,2.0,0.05,0.47889029430278024,0.4915748541801685
36,1800,0.16,8,19.0,144,4.4,0.65,0.4783572781728511,0.49125081011017496
37,900,0.09000000000000001,6,13.0,64,0.6000000000000001,0.45,0.478680538394481,0.49141283214517173
38,1100,0.19999999999999998,5,11.0,32,1.2000000000000002,0.30000000000000004,0.4769217239920936,0.48946856772521063
39,1300,0.02,8,9.0,96,2.6,0.15000000000000002,0.47626194600468946,0.48865845755022685
