trial,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,bagging_temperature,weights_0,weights_1,weights_2,f1_macro
0,1600,0.13,7,14.0,208,0.0,0.47,0.4,3.0,2.2,0.3746943452171916
1,1600,0.13,7,14.0,208,0.0,0.47,1.1,2.2,2.4000000000000004,0.5010414343133445
2,1600,0.13,7,14.0,208,0.0,0.47,2.0,1.3000000000000003,2.2,0.4101791798712548
3,1600,0.13,7,14.0,208,0.0,0.47,0.8,0.8,0.1,0.3086493895690374
4,1600,0.13,7,14.0,208,0.0,0.47,0.30000000000000004,1.0,2.0,0.36188614232258276
5,1600,0.13,7,14.0,208,0.0,0.47,1.0,0.6,2.8000000000000003,0.40689700816591107
6,1600,0.13,7,14.0,208,0.0,0.47,0.9,0.9,2.9000000000000004,0.4101354727640687
7,1600,0.13,7,14.0,208,0.0,0.47,0.4,2.3000000000000003,0.1,0.2808099207777981
8,1600,0.13,7,14.0,208,0.0,0.47,2.6,2.1,1.7000000000000002,0.4212186994083537
9,1600,0.13,7,14.0,208,0.0,0.47,2.9000000000000004,1.6,0.6,0.3093677823769143
10,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,3.0,1.2000000000000002,0.3778053063622826
11,1600,0.13,7,14.0,208,0.0,0.47,2.5000000000000004,2.1,1.4000000000000001,0.3858336968154639
12,1600,0.13,7,14.0,208,0.0,0.47,2.2,2.1,1.9000000000000001,0.4362329631209379
13,1600,0.13,7,14.0,208,0.0,0.47,1.4000000000000001,2.5000000000000004,2.5000000000000004,0.5014676161109882
14,1600,0.13,7,14.0,208,0.0,0.47,1.4000000000000001,2.5000000000000004,2.5000000000000004,0.5014676161109882
15,1600,0.13,7,14.0,208,0.0,0.47,1.5000000000000002,2.6,2.6,0.5016082933365865
16,1600,0.13,7,14.0,208,0.0,0.47,1.6,2.6,3.0,0.5015395649872546
17,1600,0.13,7,14.0,208,0.0,0.47,1.8000000000000003,1.7000000000000002,3.0,0.43206006987248724
18,1600,0.13,7,14.0,208,0.0,0.47,2.2,0.1,2.7,0.4102920284135754
19,1600,0.13,7,14.0,208,0.0,0.47,1.3000000000000003,2.7,0.9,0.3432193163838342
20,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,2.8000000000000003,2.7,0.5022021015629344
21,1600,0.13,7,14.0,208,0.0,0.47,1.6,2.7,3.0,0.5024114848161387
22,1600,0.13,7,14.0,208,0.0,0.47,1.9000000000000001,2.8000000000000003,2.6,0.5019217179385626
