TIMESTAMP,포함된 FEATURE,F1 MACRO,ACCURACY
2025-09-12 13:52:54,"is_older_group, is_high_payment_interval, is_high_interaction, interaction_per_freq, payment_per_freq, short_tenure_high_interval, vip_low_interaction, payment_freq_alignment, subscription_code",0.4386,0.5016
2025-09-12 13:53:28,"is_older_group, older_and_member, vip_inactive, new_inactive, is_long_contract, interaction_per_freq, payment_per_freq, older_low_contract, interaction_rate, subscription_code, usage_cluster",0.4407,0.5039
2025-09-12 13:54:07,"new_inactive, is_long_contract, is_high_payment_interval, freq_per_tenure, interaction_per_freq, payment_per_freq, vip_low_interaction, contract_ratio, gender_age_group, usage_cluster",0.4443,0.5054
2025-09-12 13:54:52,"is_older_group, older_and_member, is_long_contract, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, short_tenure_high_interval, older_low_contract, interaction_rate, payment_freq_alignment, renewal_pressure, usage_cluster",0.4416,0.5032
2025-09-12 13:55:19,"older_and_member, is_low_frequency, vip_inactive, new_inactive, freq_per_tenure, older_low_contract, vip_low_interaction, contract_ratio, payment_freq_alignment, gender_age_group, usage_cluster",0.4452,0.5052
2025-09-12 13:55:41,"vip_inactive, is_high_payment_interval, short_tenure_high_interval, older_low_contract, interaction_rate",0.4467,0.5084
2025-09-12 13:56:13,"older_and_member, new_inactive, is_high_payment_interval, is_high_interaction, interaction_per_freq, vip_low_interaction, interaction_rate, contract_ratio, payment_freq_alignment, subscription_code",0.4439,0.5054
2025-09-12 13:56:46,"older_and_member, is_low_frequency, vip_inactive, is_long_contract, is_high_interaction, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, subscription_code",0.4406,0.5028
2025-09-12 13:57:29,"vip_inactive, is_high_payment_interval, freq_per_tenure, payment_per_freq, short_tenure_high_interval, older_low_contract, payment_freq_alignment, renewal_pressure, subscription_code, gender_age_group, usage_cluster",0.4404,0.5021
2025-09-12 13:58:11,"is_long_contract, is_high_payment_interval, freq_per_tenure, interaction_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, payment_freq_alignment, renewal_pressure, subscription_code, gender_age_group, usage_cluster",0.4413,0.5042
2025-09-12 13:58:45,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
2025-09-12 13:59:18,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
2025-09-12 13:59:53,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
2025-09-12 14:00:23,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
2025-09-12 14:00:51,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
2025-09-12 14:01:18,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
2025-09-12 14:01:45,"is_older_group, is_low_frequency, vip_inactive, is_high_payment_interval, short_tenure_high_interval, interaction_rate, renewal_pressure",0.4476,0.5087
