TIMESTAMP,포함된 FEATURE,F1 MACRO,ACCURACY
2025-09-15 16:31:38,"is_older_group, is_low_frequency, new_inactive, is_long_contract, is_high_payment_interval, payment_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, payment_freq_alignment, renewal_pressure, gender_age_group",0.4918,0.5074
2025-09-15 16:31:46,"older_and_member, vip_inactive, new_inactive, is_long_contract, is_high_interaction, interaction_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, contract_ratio, gender_age_group, usage_cluster",0.4911,0.5066
2025-09-15 16:31:56,"is_older_group, new_inactive, is_long_contract, is_high_payment_interval, interaction_per_freq, short_tenure_high_interval, contract_ratio, payment_freq_alignment, renewal_pressure, subscription_code, gender_age_group",0.4914,0.5071
2025-09-15 16:32:04,"is_older_group, is_low_frequency, vip_inactive, new_inactive, freq_per_tenure, interaction_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, payment_freq_alignment, renewal_pressure",0.4917,0.5072
2025-09-15 16:32:12,"vip_inactive, is_high_payment_interval, interaction_per_freq, short_tenure_high_interval, contract_ratio, renewal_pressure",0.4912,0.5068
2025-09-15 16:32:21,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:32:28,"is_older_group, is_low_frequency, vip_inactive, new_inactive, is_long_contract, freq_per_tenure, interaction_per_freq, payment_per_freq, short_tenure_high_interval, vip_low_interaction, interaction_rate, payment_freq_alignment",0.4912,0.5069
2025-09-15 16:32:36,"older_and_member, vip_inactive, is_long_contract, is_high_payment_interval, is_high_interaction, payment_per_freq, short_tenure_high_interval, vip_low_interaction, interaction_rate, payment_freq_alignment, renewal_pressure, gender_age_group",0.4918,0.5078
2025-09-15 16:32:44,"older_and_member, new_inactive, is_long_contract, is_high_payment_interval, is_high_interaction, older_low_contract, vip_low_interaction, subscription_code, usage_cluster",0.4914,0.5072
2025-09-15 16:32:53,"is_older_group, is_low_frequency, new_inactive, is_high_interaction, interaction_per_freq, short_tenure_high_interval, contract_ratio, subscription_code, gender_age_group, usage_cluster",0.4920,0.5080
2025-09-15 16:33:00,"is_older_group, older_and_member, is_high_interaction, freq_per_tenure, payment_per_freq, older_low_contract, interaction_rate, renewal_pressure, subscription_code, gender_age_group, usage_cluster",0.4909,0.5067
2025-09-15 16:33:08,"is_older_group, is_low_frequency, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, contract_ratio, subscription_code, gender_age_group, usage_cluster",0.4911,0.5067
2025-09-15 16:33:16,"is_older_group, is_low_frequency, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, contract_ratio, subscription_code, gender_age_group, usage_cluster",0.4908,0.5065
2025-09-15 16:33:24,"is_older_group, is_low_frequency, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, interaction_rate, contract_ratio, subscription_code, gender_age_group, usage_cluster",0.4911,0.5067
2025-09-15 16:33:31,"is_older_group, is_high_interaction, interaction_per_freq, contract_ratio, gender_age_group, usage_cluster",0.4906,0.5066
2025-09-15 16:33:42,"is_older_group, is_low_frequency, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, subscription_code, gender_age_group, usage_cluster",0.4921,0.5077
2025-09-15 16:33:52,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:34:00,"older_and_member, is_high_interaction, freq_per_tenure, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, renewal_pressure, usage_cluster",0.4910,0.5069
2025-09-15 16:34:09,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:34:18,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:34:26,"older_and_member, vip_inactive, is_high_payment_interval, freq_per_tenure, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, payment_freq_alignment, renewal_pressure, usage_cluster",0.4911,0.5073
2025-09-15 16:34:35,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:34:46,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:34:56,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:35:07,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:35:17,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:35:27,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:35:37,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:35:47,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:35:56,"is_older_group, new_inactive, is_long_contract, is_high_payment_interval, freq_per_tenure, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, payment_freq_alignment, renewal_pressure, gender_age_group",0.4921,0.5074
2025-09-15 16:36:06,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:36:15,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:36:24,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:36:33,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:36:42,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:36:50,"is_older_group, vip_inactive, new_inactive, is_long_contract, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4915,0.5070
2025-09-15 16:36:58,"new_inactive, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group",0.4918,0.5077
2025-09-15 16:37:07,"is_older_group, vip_inactive, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, payment_freq_alignment, renewal_pressure, usage_cluster",0.4918,0.5071
2025-09-15 16:37:14,"is_older_group, older_and_member, new_inactive, is_long_contract, is_high_payment_interval, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group",0.4918,0.5076
2025-09-15 16:37:23,"new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, interaction_rate, payment_freq_alignment, renewal_pressure, gender_age_group, usage_cluster",0.4918,0.5075
2025-09-15 16:37:30,"is_older_group, vip_inactive, is_high_payment_interval, is_high_interaction, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure",0.4918,0.5076
2025-09-15 16:37:39,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:37:48,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:37:57,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:38:06,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:38:15,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:38:24,"is_older_group, is_low_frequency, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:38:32,"is_older_group, older_and_member, new_inactive, is_long_contract, is_high_interaction, freq_per_tenure, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, gender_age_group, usage_cluster",0.4919,0.5075
2025-09-15 16:38:39,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, short_tenure_high_interval, older_low_contract, renewal_pressure, subscription_code, gender_age_group, usage_cluster",0.4909,0.5068
2025-09-15 16:38:46,"is_older_group, new_inactive, is_high_interaction, interaction_per_freq, payment_per_freq, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4910,0.5068
2025-09-15 16:38:55,"is_low_frequency, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4918,0.5076
2025-09-15 16:39:04,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:39:13,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:39:22,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:39:30,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
2025-09-15 16:39:39,"is_older_group, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, payment_per_freq, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio, renewal_pressure, gender_age_group, usage_cluster",0.4923,0.5080
