trial,formula,used_features,f1_macro,metric
0,baseline_dataset,,0.5026,0.5026
1,sqrt(sqrt((payment_per_freq / vip_low_interaction))),payment_per_freq|vip_low_interaction|contract_ratio|test_3,0.5018,0.5018
2,(freq(subscription_type) - test_1),subscription_type|test_1,0.5026,0.5026
3,(((payment_per_freq)^2 / test_2) / is_high_interaction),payment_per_freq|test_5|test_2|is_high_interaction,0.5013,0.5013
4,sqrt(((test_1 + payment_interval) / interaction_per_freq)),test_1|payment_interval|interaction_per_freq|freq_per_tenure,0.5016,0.5016
5,((((interaction_rate / freq_per_tenure) / interaction_per_freq) * test_4) - is_high_interaction),interaction_rate|freq_per_tenure|interaction_per_freq|test_4|is_high_interaction,0.5008,0.5008
6,(((freq_per_tenure / after_interaction) / is_older_group))^2,freq_per_tenure|after_interaction|is_older_group|new_inactive,0.5012,0.5012
7,((frequent)^2 / contract_length),frequent|test_5|contract_length,0.5027,0.5027
8,(freq(gender) * freq_per_tenure),gender|freq_per_tenure,0.5022,0.5022
9,(freq(subscription_type) + test_5),subscription_type|test_5,0.4999,0.4999
10,(contract_ratio)^2,contract_ratio|test_1,0.5026,0.5026
11,(freq(gender) / age),gender|age,0.5032,0.5032
14,(freq(gender) / renewal_pressure),gender|renewal_pressure,0.5016,0.5016
15,(renewal_pressure - test_2),renewal_pressure|test_2,0.4995,0.4995
16,(freq(gender) * frequent),gender|frequent,0.5007,0.5007
17,((contract_length * gender_age_group) * after_interaction),contract_length|gender_age_group|after_interaction,0.4996,0.4996
18,(freq(subscription_type) - contract_ratio),subscription_type|contract_ratio,0.5006,0.5006
19,(freq(gender) + interaction_rate),gender|interaction_rate,0.5004,0.5004
20,(log(age))^2,age|test_5|tenure,0.5026,0.5026
21,log(log(log(sqrt(is_high_interaction)))),is_high_interaction|contract_ratio|tenure|interaction_per_freq|older_low_contract,0.5026,0.5026
22,(freq(subscription_type) / interaction_per_freq),subscription_type|interaction_per_freq,0.5015,0.5015
23,((test_5)^2 + is_older_group),test_5|tenure|is_older_group,0.5013,0.5013
24,(freq(gender) / tenure),gender|tenure,0.5011,0.5011
25,(freq(gender) + payment_interval),gender|payment_interval,0.4979,0.4979
26,(payment_per_freq + payment_interval),payment_per_freq|payment_interval,0.4996,0.4996
27,((interaction_per_freq - test_2) - freq_per_tenure),interaction_per_freq|test_2|freq_per_tenure,0.4984,0.4984
28,(freq(subscription_type) * vip_low_interaction),subscription_type|vip_low_interaction,0.5020,0.5020
29,(((sqrt(is_older_group) - age) - test_1))^2,is_older_group|new_inactive|age|test_1|payment_per_freq,0.5026,0.5026
30,(freq(gender) - is_high_interaction),gender|is_high_interaction,0.4946,0.4946
31,(frequent)^2,frequent|payment_per_freq,0.5026,0.5026
32,(after_interaction)^2,after_interaction|renewal_pressure,0.5026,0.5026
33,(gender_age_group)^2,gender_age_group|frequent,0.5026,0.5026
34,(log(test_1) * older_low_contract),test_1|test_2|older_low_contract,0.5026,0.5026
35,(test_4 * freq_per_tenure),test_4|freq_per_tenure,0.5017,0.5017
36,sqrt((freq_per_tenure)^2),freq_per_tenure|vip_low_interaction|tenure,0.5026,0.5026
38,((new_inactive)^2 + vip_low_interaction),new_inactive|interaction_rate|vip_low_interaction,0.5026,0.5026
39,log(contract_length),contract_length|after_interaction,0.5026,0.5026
40,(freq(gender) / is_older_group),gender|is_older_group,0.5026,0.5026
41,(log(freq_per_tenure))^2,freq_per_tenure|vip_low_interaction|age,0.5026,0.5026
42,(log(contract_ratio))^2,contract_ratio|contract_length|test_1,0.5026,0.5026
43,((log(test_5))^2 + is_older_group),test_5|older_low_contract|after_interaction|is_older_group,0.5012,0.5012
44,log((test_3 + renewal_pressure)),test_3|renewal_pressure|interaction_rate,0.5018,0.5018
45,((is_older_group - interaction_rate))^2,is_older_group|interaction_rate|freq_per_tenure,0.5020,0.5020
46,((sqrt(contract_ratio) / older_low_contract) - test_4),contract_ratio|age|older_low_contract|test_4,0.5015,0.5015
47,(freq(subscription_type) / test_4),subscription_type|test_4,0.5000,0.5000
48,(interaction_rate * is_high_interaction),interaction_rate|is_high_interaction,0.5017,0.5017
49,(freq(gender) + older_low_contract),gender|older_low_contract,0.5008,0.5008
50,(((after_interaction / is_high_interaction))^2 * new_inactive),after_interaction|is_high_interaction|test_1|new_inactive,0.5026,0.5026
51,log(log(log(sqrt(frequent)))),frequent|contract_length|age|is_older_group|test_2,0.5026,0.5026
52,log(log(log(sqrt(older_low_contract)))),older_low_contract|contract_length|payment_interval|test_3|interaction_rate,0.5026,0.5026
53,log(log(sqrt(test_4))),test_4|age|test_2|new_inactive,0.5026,0.5026
54,((log((test_4)^2) + interaction_per_freq) / new_inactive),test_4|contract_ratio|contract_length|interaction_per_freq|new_inactive,0.5023,0.5023
55,(freq(gender) - after_interaction),gender|after_interaction,0.4953,0.4953
56,((log(test_3) + freq_per_tenure))^2,test_3|test_1|freq_per_tenure|payment_per_freq,0.5017,0.5017
57,(freq(subscription_type) * new_inactive),subscription_type|new_inactive,0.5026,0.5026
58,((renewal_pressure / frequent) - is_older_group),renewal_pressure|frequent|is_older_group,0.4994,0.4994
59,(sqrt(sqrt(tenure)) / frequent),tenure|interaction_rate|new_inactive|frequent,0.5014,0.5014
60,(freq(gender) / test_3),gender|test_3,0.5002,0.5002
61,(((sqrt(test_4) - is_older_group) - test_1))^2,test_4|vip_low_interaction|is_older_group|test_1|test_3,0.5019,0.5019
62,(((sqrt(age) - payment_interval) - usage_cluster) + is_high_interaction),age|interaction_per_freq|payment_interval|usage_cluster|is_high_interaction,0.5013,0.5013
63,(log((sqrt(freq_per_tenure) - payment_interval)))^2,freq_per_tenure|frequent|payment_interval|after_interaction|is_high_interaction,0.5029,0.5029
64,sqrt(log(((contract_ratio + freq_per_tenure) / tenure))),contract_ratio|freq_per_tenure|tenure|test_5|interaction_per_freq,0.5018,0.5018
65,(log(((usage_cluster)^2 * test_3)) * freq_per_tenure),usage_cluster|frequent|test_3|renewal_pressure|freq_per_tenure,0.5020,0.5020
66,(sqrt(test_5) / contract_length),test_5|after_interaction|contract_length,0.5006,0.5006
