Feature,Type,Statistic,p-value
is_older_group,Numerical,inf,0.0
gender,Categorical,241.02136237456182,7.0055295055027e-28
gender_age_group,Numerical,163.12284068234783,0.0
older_and_member,Numerical,160.7943108109037,0.0
older_low_contract,Numerical,133.01735077095393,0.0
subscription_type,Categorical,105.6625983434524,0.1932688476598369
support_needs,Numerical,33.76059325753039,1.1468007295929313e-293
is_long_contract,Numerical,24.706386308030545,4.028878118581614e-208
is_high_payment_interval,Numerical,13.903740546993943,1.806719461445058e-106
payment_interval,Numerical,12.124434385972219,5.694984025864368e-90
contract_length,Numerical,7.309859435230935,2.120204428128841e-46
contract_ratio,Numerical,5.401000262173909,5.19060790478892e-30
short_tenure_high_interval,Numerical,4.0187582566976685,7.691114654112922e-19
after_interaction,Numerical,2.3756773421539488,3.638900009104838e-07
payment_per_freq,Numerical,2.159368151803142,7.225631320550755e-06
interaction_rate,Numerical,2.1061681171125795,1.4621416048870163e-05
is_high_interaction,Numerical,1.9240044432577699,0.0001474196197082877
usage_cluster,Numerical,1.7465517787602145,0.001177025740014395
vip_low_interaction,Numerical,1.5772995629935445,0.007067066226447749
interaction_per_freq,Numerical,1.5034116407958826,0.014460792348661163
subscription_code,Numerical,1.4325850227213786,0.027537780606907206
renewal_pressure,Numerical,1.3793702107757204,0.043397849025099154
payment_freq_alignment,Numerical,1.2544954418402303,0.11341161422388087
freq_per_tenure,Numerical,1.162801927634152,0.2069101966141351
tenure,Numerical,1.1112283030479904,0.27825221981956233
is_low_frequency,Numerical,1.0657685458853954,0.3519184053105289
frequent,Numerical,1.022270298801094,0.4302917419103312
new_inactive,Numerical,0.8896071566522769,0.6866909665477616
vip_inactive,Numerical,0.6981860782248954,0.9419905361390138
