Feature,Type,Statistic,p-value
gender_age_group,Numerical,119893.96234678666,0.0
after_interaction,Numerical,546.1614884694247,9.467121172625901e-120
is_high_interaction,Numerical,338.1465685863925,4.07668650663871e-75
usage_cluster,Numerical,321.7029781980265,1.4251422782208208e-71
support_needs,Numerical,255.88705992250524,2.3013852744655356e-57
interaction_rate,Numerical,180.63200472188558,4.603157936287159e-41
is_long_contract,Numerical,151.68858600497654,8.946418865348208e-35
vip_low_interaction,Numerical,147.66802345595949,6.702213650934428e-34
payment_interval,Numerical,112.59137993379562,2.9430011001625513e-26
is_high_payment_interval,Numerical,106.20435830255468,7.298427247805309e-25
older_low_contract,Numerical,87.55517689719504,8.732596489944111e-21
contract_length,Numerical,55.80801299575719,8.201820903346231e-14
contract_ratio,Numerical,41.5585490291084,1.1608099615769017e-10
age,Numerical,39.5846971763003,3.183472157489479e-10
payment_per_freq,Numerical,27.131810853290162,1.9126390946636178e-07
interaction_per_freq,Numerical,19.97407941244468,7.877819154274449e-06
short_tenure_high_interval,Numerical,15.770006743785673,7.168964407043418e-05
is_low_frequency,Numerical,9.675217730704365,0.001869403162950531
is_older_group,Numerical,9.326900247644412,0.0022600640619026484
new_inactive,Numerical,5.634898126070481,0.0176124531859625
vip_inactive,Numerical,5.159348517050162,0.02312842452383402
frequent,Numerical,3.6141534409768714,0.057299179622001206
tenure,Numerical,1.3936107957621804,0.23780536792884965
payment_freq_alignment,Numerical,1.2037686143401518,0.27257831476110456
renewal_pressure,Numerical,0.4124140966746676,0.5207515125342637
freq_per_tenure,Numerical,0.3361494683672012,0.5620645324699893
older_and_member,Numerical,0.09389388999489919,0.7592861131962937
subscription_type,Categorical,0.06667358289802647,0.9672127557426262
subscription_code,Numerical,0.006276671926800755,0.9368538157925124
