,F,M
age,39.93520035751527,39.03820559889858
tenure,31.117011768210933,31.35291418081689
frequent,15.697676150752272,15.885670032124828
payment_interval,13.517577834053329,12.507801743919229
contract_length,179.67376731714583,192.01067003212484
after_interaction,13.253835840905705,15.54147544745296
support_needs,0.8905109489051095,0.7382400183570446
is_older_group,0.5086399523312974,0.4911083065626434
older_and_member,0.16341427081781618,0.16211564938044976
is_low_frequency,0.29055563831371967,0.27449518127581457
vip_inactive,0.19387755102040816,0.18368517668655346
new_inactive,0.07239684194845822,0.06551170261587884
is_long_contract,0.7677640399225384,0.8242312987608995
is_high_payment_interval,0.2985997318635483,0.24621385956860944
is_high_interaction,0.20765678534187398,0.2997361174850849
freq_per_tenure,1.239046936194039,1.22024766643017
interaction_per_freq,1.8026853367489948,1.9789137224442725
payment_per_freq,1.8277908603369792,1.6339833980729557
short_tenure_high_interval,0.07731267689557575,0.0656264341441028
older_low_contract,0.12982273201251304,0.09614502065167509
vip_low_interaction,0.20743333829882318,0.15425653969710876
interaction_rate,0.4584637420950973,0.49351931142140276
contract_ratio,24.329260548501242,27.883441942881888
payment_freq_alignment,0.16475495307612095,0.16945846718678292
renewal_pressure,14.147055860758144,14.420851241072521
subscription_code,1.0144495754506182,1.0137104176227627
gender_age_group,0.5327722329807836,2.518184947223497
usage_cluster,0.9214956055414867,1.0883432767324461
