Feature,Type,Statistic,p-value
"SUM(payment_interval,age)",Numerical,819.1374639789807,0.0
is_long_contract,Numerical,802.396946712362,0.0
age,Numerical,544.8722329236095,2.804826923370991e-233
age_group,Numerical,505.4295971033609,1.032129900824555e-216
is_high_payment_interval,Numerical,505.04730521425176,1.494502945842944e-216
is_older_group,Numerical,414.02382278564005,3.648852012977356e-178
older_low_contract,Numerical,384.8094548568981,8.503670471865145e-166
payment_interval,Numerical,379.78261152965433,1.1480123854793006e-163
gender,Categorical,269.11144893557764,3.657559123774226e-59
test_3,Numerical,252.11675453915396,2.4667438688336844e-109
contract_length,Numerical,229.60768029241,1.0409199976641363e-99
contract_ratio,Numerical,133.92315844878024,1.2271756235260988e-58
older_and_member,Numerical,107.79928835844925,2.2190700390113516e-47
short_tenure_high_interval,Numerical,102.00155725573075,7.0321559247699e-45
after_interaction,Numerical,86.81139927327041,2.53493535114508e-38
gender_age_group,Numerical,81.46883982199245,5.1478424910436515e-36
interaction_rate,Numerical,58.42426814778198,4.7270093581647553e-26
is_high_interaction,Numerical,52.94261125582336,1.1134688921035212e-23
payment_per_freq,Numerical,50.466247262879214,1.3138838185511848e-22
test_2,Numerical,45.51261196998573,1.8332520096798637e-20
usage_cluster,Numerical,41.98230484995844,6.195548010350159e-19
vip_low_interaction,Numerical,23.772791506625435,4.8256329048504414e-11
interaction_per_freq,Numerical,21.467562430688133,4.822106427866035e-10
frequent,Numerical,7.026474608407038,0.0008894787102547664
new_inactive,Numerical,6.760852426633692,0.0011599580455392143
subscription_type,Categorical,6.490490996349588,0.16539051435430022
tenure,Numerical,6.049436050253662,0.002361991152828789
is_low_frequency,Numerical,4.502856496376009,0.01108458920586713
renewal_pressure,Numerical,4.490543797964325,0.011221873833211302
freq_per_tenure,Numerical,2.587978042638178,0.07518819821365459
subscription_code,Numerical,2.400291225717027,0.09070847193233435
vip_inactive,Numerical,1.1425513885460294,0.319017575440659
payment_freq_alignment,Numerical,0.49668257706280367,0.608550985046244
