trial,d_model,n_heads,n_layers,ff_mult,dropout,attn_dropout,token_dropout,lr,weight_decay,warmup_ratio,min_lr,step_size,gamma,label_smoothing,focal_gamma,batch_size,epochs,grad_clip,patience,alpha0,alpha1,alpha2,alpha_vec,f1_macro,f1_c0,f1_c1,f1_c2,precision_c0,precision_c1,precision_c2,recall_c0,recall_c1,recall_c2,precision_macro,recall_macro,accuracy
0,192,8,10,4,0.3,0.25,0.05,2.3102018878452926e-05,6.981203125151329e-05,0.04,2.310201887845293e-06,5,0.2,0.1,1.8,128,40,0.0,15,0.8,0.8500000000000001,0.95,"0.8000,0.8500,0.9500",0.4651149554444618,0.5721784776902887,0.3196558570483124,0.5035105315947843,0.6168148746968473,0.35436537050623623,0.42997858672376876,0.5335664335664335,0.2911392405063291,0.6073805202661827,0.4670529439756175,0.47736206477964843,0.48817239144523655
7,192,4,6,4,0.25,0.2,0.09999999999999998,8.798929749689021e-05,5.203669992708277e-05,0.08,5.7648106701146705e-05,10,0.4,0.1,1.5,128,40,1.0,15,0.9,0.5,0.6,"0.9000,0.5000,0.6000",0.39746211406413573,0.6588016144054641,0.0,0.5335847277869432,0.5924064768285874,0.0,0.43706563706563706,0.7419580419580419,0.0,0.6848154869933454,0.34315737129807483,0.47559117631712916,0.5272197018794557
10,192,8,12,4,0.3,0.3,0.0,1.0580370461185827e-05,0.00014018824766925917,0.01,1.0580370461185827e-06,5,0.1,0.1,3.0,128,40,0.0,15,0.5,1.1,1.3,"0.5000,1.1000,1.3000",0.4579333121408729,0.5188143788101744,0.3647469458987784,0.49023861171366595,0.6505007907221929,0.3524451939291737,0.4074519230769231,0.4314685314685315,0.3779385171790235,0.6152450090744102,0.47013263590942994,0.474884019240655,0.466299416720674
11,192,8,12,4,0.3,0.3,0.0,1.1672711987380448e-05,0.0001303654297773545,0.01,1.167271198738045e-06,5,0.1,0.1,3.0,128,40,0.0,15,0.55,1.1,1.4,"0.5500,1.1000,1.4000",0.4649557950097986,0.5256356815339724,0.35362853628536284,0.5156031672100605,0.650670794633643,0.36095417451349654,0.41915940931465356,0.4409090909090909,0.3465943339361061,0.6696914700544465,0.47692812615393104,0.48573163163321453,0.4768308489954634
12,192,8,11,5,0.05,0.3,0.0,1.3822095072851399e-05,0.00026409803996701135,0.02,1.38220950728514e-06,5,0.1,0.1,2.9000000000000004,128,40,0.0,15,0.65,0.9,1.0,"0.6500,0.9000,1.0000",0.4744472974914782,0.563441712926249,0.3356053229470951,0.5242948566010903,0.6506410256410257,0.36357243319268634,0.4310210444271239,0.49685314685314685,0.3116335141651597,0.6690865093768905,0.4817448344202786,0.4925243901317324,0.4931950745301361
13,192,8,9,6,0.0,0.05,0.1,4.820589937370411e-05,0.0010684913897264987,0.04,3.226835380341493e-05,5,0.2,0.1,0.5,128,40,0.0,15,0.95,0.75,0.9,"0.9500,0.7500,0.9000",0.4013228213495637,0.6592604348516109,0.0,0.5447080291970803,0.6036036036036037,0.0,0.43720248993042843,0.7262237762237762,0.0,0.7223230490018149,0.346935364511344,0.4828489417418637,0.5299740764744005
14,192,12,9,5,0.05,0.2,0.1,0.00042801567536378406,0.000574428958769503,0.04,2.861278747505377e-05,5,0.30000000000000004,0.1,1.9000000000000001,128,40,1.0,15,0.8,1.5,0.95,"0.8000,1.5000,0.9500",0.47991698462392235,0.5438777617179434,0.3635265700483092,0.5323466221055144,0.6641452344931922,0.3641863278886872,0.4396687697160883,0.4604895104895105,0.3628691983122363,0.6745311554748942,0.48933344403265594,0.499296621425547,0.4915748541801685
15,192,12,7,5,0.05,0.1,0.2,0.0005575513311705233,0.0006798354565621817,0.04,2.074467612340009e-05,10,0.4,0.1,2.1,128,40,2.0,15,1.25,1.5,1.05,"1.2500,1.5000,1.0500",0.47190778389618276,0.5809798270893372,0.29793300071275836,0.5368105238864528,0.6447761194029851,0.3644289450741064,0.43395522388059704,0.5286713286713287,0.25195901145268235,0.7035692679975801,0.4810534294525628,0.49473320270719706,0.5011341542449773
16,192,12,4,5,0.1,0.15000000000000002,0.15000000000000002,0.0006238110354363541,0.0004525744685499778,0.06999999999999999,2.1660490709515196e-05,5,0.30000000000000004,0.1,2.3000000000000003,128,40,1.0,15,0.7,1.5,0.7,"0.7000,1.5000,0.7000",0.46254369586834904,0.519991447509087,0.38591117917304746,0.48172846092291277,0.6692350027517887,0.3346613545816733,0.4308206106870229,0.4251748251748252,0.45569620253164556,0.5462794918330308,0.4782389893401617,0.47571683984650054,0.46581335061568374
17,192,6,10,6,0.15000000000000002,0.2,0.1,0.0002070897677386739,0.0024465156410601297,0.03,5.50501017920287e-05,5,0.5,0.1,1.1,128,40,2.0,15,1.25,1.25,1.15,"1.2500,1.2500,1.1500",0.47594757984885433,0.5486546631600243,0.3557336621454994,0.5234544142410392,0.6509841574651944,0.3640378548895899,0.43450479233226835,0.47412587412587415,0.34779987944544904,0.6581972171808832,0.4831756015623509,0.4933743235840688,0.48946856772521063
21,192,6,10,6,0.15000000000000002,0.2,0.1,0.00027607404778780796,0.0017294495260000331,0.03,6.767720139085719e-05,5,0.5,0.1,0.9,128,40,2.0,15,1.35,1.3,1.15,"1.3500,1.3000,1.1500",0.47622956949920736,0.5439571752110356,0.34665813879117363,0.5380733944954128,0.6614922383575363,0.3692098092643052,0.4333210195788696,0.4618881118881119,0.32670283303194697,0.7096188747731398,0.4880076890669038,0.49940327323106626,0.49189889825016203
22,192,6,9,6,0.15000000000000002,0.2,0.1,0.0002569437087400866,0.002826355178916024,0.03,8.794675534929395e-05,5,0.5,0.1,1.0,128,40,2.0,15,1.4500000000000002,1.3,1.2000000000000002,"1.4500,1.3000,1.2000",0.4398286739519864,0.6279692204750753,0.15824594852240229,0.5332708528584817,0.6019884541372674,0.37813211845102507,0.4351816443594646,0.6562937062937063,0.10006027727546715,0.6884452510586812,0.4717674056492524,0.48159974487595153,0.5153920933246922
