trial,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,f1_macro,accuracy
0,1000,0.08927180304353628,120,9,20,0.6,0.6,2.9154431891537547,0.2537815508265665,0.42906052806646855,0.520900842514582
1,1600,0.010485387725194618,150,11,30,0.6,0.6,0.016480446427978974,0.12561043700013558,0.42906052806646855,0.520900842514582
2,1100,0.019553708662745254,100,6,30,0.7,0.8,1.382623217936987,0.006290644294586149,0.42906052806646855,0.520900842514582
3,1300,0.03912141628549695,20,9,20,0.6,1.0,7.2866537374910445,1.7123375973163988,0.42906052806646855,0.520900842514582
4,900,0.012521954287060391,110,8,20,0.8,0.6,4.337920697490942,0.010842262717330166,0.42906052806646855,0.520900842514582
5,1500,0.020497980520950188,90,9,20,1.0,0.9,5.727904470799623,3.7958531426706403,0.42906052806646855,0.520900842514582
6,1400,0.0835361075531176,30,6,10,0.7,0.7,0.01217295809836997,2.0651425578959257,0.42906052806646855,0.520900842514582
7,1000,0.01909565280104538,90,6,90,0.6,1.0,1.2273800987852967,0.0062353771356731605,0.42906052806646855,0.520900842514582
8,500,0.06538248584518043,110,10,80,0.6,0.7,0.0029072088906598446,2.8340904295147746,0.42906052806646855,0.520900842514582
9,1400,0.02142387495644906,20,7,40,0.9,0.9,3.53875886477924,0.0774211647399625,0.42906052806646855,0.520900842514582
