number,value,params,datetime_start
0,0.4548661624663548,"{'n_d_a': 60, 'n_steps': 8, 'gamma': 2.2671812658268413, 'lambda_sparse': 7.235095775224966e-05, 'mask_type': 'entmax', 'learning_rate': 0.004580669844252352, 'weight_decay': 1.9350868787015276e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 5, 'patience': 20, 'batch_size': 1024}",2025-09-18 16:17:38.078724
1,0.48113760742676104,"{'n_d_a': 20, 'n_steps': 3, 'gamma': 2.862091741199216, 'lambda_sparse': 1.7006485057116112e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.03734014985587237, 'weight_decay': 1.0994143200255466e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 1, 'n_independent': 5, 'n_shared': 5, 'patience': 61, 'batch_size': 512}",2025-09-18 16:21:21.000329
2,0.28608172097951157,"{'n_d_a': 12, 'n_steps': 7, 'gamma': 2.568804933091453, 'lambda_sparse': 0.0007771713171379147, 'mask_type': 'entmax', 'learning_rate': 0.0010950441263225183, 'weight_decay': 2.0003009189962398e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 1, 'n_independent': 4, 'n_shared': 5, 'patience': 25, 'batch_size': 1024}",2025-09-18 16:24:45.069889
3,0.3857460420558689,"{'n_d_a': 40, 'n_steps': 9, 'gamma': 1.939362767149591, 'lambda_sparse': 0.00017606853699193349, 'mask_type': 'sparsemax', 'learning_rate': 0.0011840954088573987, 'weight_decay': 4.9100638206134995e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 3, 'n_shared': 1, 'patience': 25, 'batch_size': 2048}",2025-09-18 16:26:09.312766
4,0.486980492069555,"{'n_d_a': 40, 'n_steps': 5, 'gamma': 2.146201899234213, 'lambda_sparse': 6.98289423306857e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.01821189586651414, 'weight_decay': 3.4607066611329465e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 2, 'n_shared': 2, 'patience': 66, 'batch_size': 512}",2025-09-18 16:27:52.580739
5,0.46085749316653396,"{'n_d_a': 60, 'n_steps': 8, 'gamma': 2.1021658049836063, 'lambda_sparse': 8.608916996392859e-06, 'mask_type': 'entmax', 'learning_rate': 0.025780464094260245, 'weight_decay': 4.128871292176052e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 4, 'n_independent': 5, 'n_shared': 5, 'patience': 29, 'batch_size': 512}",2025-09-18 16:34:09.116678
6,0.4445018680730097,"{'n_d_a': 36, 'n_steps': 8, 'gamma': 1.518611066137358, 'lambda_sparse': 7.489071540641992e-05, 'mask_type': 'entmax', 'learning_rate': 0.0011406267609230844, 'weight_decay': 8.219762393371185e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 4, 'n_shared': 5, 'patience': 36, 'batch_size': 512}",2025-09-18 16:43:16.246711
7,0.4692354197439446,"{'n_d_a': 16, 'n_steps': 10, 'gamma': 1.9632112192604476, 'lambda_sparse': 0.00046144765122908626, 'mask_type': 'sparsemax', 'learning_rate': 0.04348108059053478, 'weight_decay': 2.3851204515883847e-06, 'virtual_batch_size': 128, 'cat_emb_dim': 4, 'n_independent': 2, 'n_shared': 2, 'patience': 53, 'batch_size': 512}",2025-09-18 16:54:25.085131
8,0.46834129463054985,"{'n_d_a': 40, 'n_steps': 5, 'gamma': 2.538914387853081, 'lambda_sparse': 1.5823810304840316e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.0045649154887480595, 'weight_decay': 2.8660654853409863e-06, 'virtual_batch_size': 128, 'cat_emb_dim': 4, 'n_independent': 5, 'n_shared': 2, 'patience': 65, 'batch_size': 512}",2025-09-18 17:05:25.380998
9,0.44643247560194615,"{'n_d_a': 40, 'n_steps': 10, 'gamma': 2.8852209943816014, 'lambda_sparse': 3.118999484741169e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.001636042256358838, 'weight_decay': 1.5261693919163386e-06, 'virtual_batch_size': 256, 'cat_emb_dim': 4, 'n_independent': 4, 'n_shared': 2, 'patience': 59, 'batch_size': 512}",2025-09-18 17:15:34.094995
