trial,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,f1_macro,accuracy
0,1000,0.08927180304353628,8,0.8,0.6,2.275053705838343e-07,0.0017073967431528124,2.9154431891537547,0.4034822452705879,0.5098833441348023
1,1400,0.051059032093947576,3,1.0,1.0,7.032853236588588e-07,0.005337032762603957,0.00541524411940254,0.3970760528941281,0.5225210628645496
2,900,0.03347776308515933,6,0.7,0.9,1.634755885510359e-07,0.01474275315991467,0.029204338471814112,0.4025372264415001,0.5252754374594945
3,1200,0.06097839109531514,4,0.8,0.8,2.535541638745669e-08,0.26926469100861794,0.004809461967501573,0.4028505056149491,0.5228451069345431
4,600,0.08889667907018929,10,1.0,0.7,7.073702489270826e-08,0.5456725485601477,0.057624872164786026,0.4073627646381754,0.5
5,600,0.03127353036780371,3,1.0,0.7,0.005797776622674344,0.017654048052495083,0.12030178871154672,0.39739256404104056,0.5186325340246274
6,1300,0.015305744365500184,10,0.9,1.0,0.6082418248172017,0.24637685958997463,4.869640941520899,0.42342621575550043,0.5147440051847051
7,600,0.015703008378806716,3,0.7,0.7,2.293280024184598e-06,2.0651425578959257,0.026730883107816707,0.39763112327961686,0.5183084899546339
8,900,0.03488960745139221,4,1.0,0.6,3.845031120156871,1.2273800987852967,0.0062353771356731605,0.39231992371469343,0.5196046662346079
9,500,0.06538248584518043,8,0.9,0.9,4.406687000612437e-08,0.02715581955282941,0.0029072088906598446,0.41045118424661825,0.5153920933246922
10,2000,0.010139048090380883,10,0.6,1.0,0.7865907376551721,6.903717055434688,8.073678037024452,0.4031952275131354,0.5281918340894362
11,1600,0.018905210115992867,8,0.9,0.9,0.00021631948391697369,0.07777786661662804,0.5750802735136484,0.4108561611573957,0.5183084899546339
12,1700,0.017529129362083295,8,0.9,0.9,0.0003900612061825751,0.07495849797769727,0.68367126793211,0.41096847825078847,0.5194426441996112
13,1800,0.01691128695581395,9,0.9,1.0,0.017420458592726534,0.12185426398141617,0.8456108830181179,0.4217360266585081,0.5157161373946857
